id,name,phone_number,address,type,description,logo_photos,cuisines
1,Roma's Pizzeria,474-711-3654,435 Main St,dine-in,A cozy Italian restaurant offering authentic pasta and pizzas.,"[""url26"", ""url1""]","[""Italian"", ""American""]"
2,Aegean Breeze,517-804-2622,126 Main St,dine-in,A vibrant Mediterranean eatery with fresh seafood and salads.,"[""url58""]","[""Mediterranean""]"
3,Casa de Tacos,288-130-3814,275 Main St,take-out,A lively Mexican joint with flavorful tacos and margaritas.,"[""url46""]","[""Mexican""]"
4,Golden Dragon,337-699-6023,305 Main St,take-out,A traditional Chinese restaurant with dim sum and stir-fries.,"[""url40""]","[""Chinese""]"
5,Taj Curry House,288-822-1067,51 Main St,dine-in,An aromatic Indian bistro with curries and tandoori dishes.,"[""url12""]","[""Indian""]"
6,Wasabi Wave,394-672-8335,134 Main St,take-out,A modern Japanese sushi bar with fresh sashimi and ramen.,"[""url69""]","[""Japanese""]"
7,Chili Thai,578-848-3870,41 Main St,take-out,A spicy Thai eatery with colorful curries and noodle dishes.,"[""url7""]","[""Thai""]"
8,Le Petit Café,439-626-1132,354 Main St,take-out,A sophisticated French café with pastries and fine dining.,"[""url98""]","[""French""]"
9,Eagle's Diner,437-434-8528,151 Main St,take-out,A classic American diner with burgers and milkshakes.,"[""url15""]","[""American""]"
10,Athena's Olive,872-837-2060,271 Main St,dine-in,A festive Greek taverna with moussaka and gyro platters.,"[""url60""]","[""Greek""]"
11,Lotus Leaf,450-180-7081,435 Main St,dine-in,A flavorful Vietnamese spot with pho and spring rolls.,"[""url50""]","[""Vietnamese""]"
12,Paella Paradise,149-725-9263,33 Main St,dine-in,A lively Spanish tapas bar with sangria and paella.,"[""url75""]","[""Spanish""]"
13,Pasta Fresca,583-282-9216,362 Main St,dine-in,A cozy Italian restaurant offering authentic pasta and pizzas.,"[""url94""]","[""Italian""]"
14,Seafood Harbor,560-443-6516,62 Main St,take-out,A vibrant Mediterranean eatery with fresh seafood and salads.,"[""url27""]","[""Mediterranean""]"
15,Margarita's,143-573-1355,99 Main St,dine-in,A lively Mexican joint with flavorful tacos and margaritas.,"[""url41""]","[""Mexican""]"
16,Bamboo Garden,925-415-5151,168 Main St,dine-in,A traditional Chinese restaurant with dim sum and stir-fries.,"[""url38""]","[""Chinese""]"
17,Saffron Lounge,167-243-4644,437 Main St,dine-in,An aromatic Indian bistro with curries and tandoori dishes.,"[""url76""]","[""Indian""]"
18,Zen Ramen,515-845-5268,33 Main St,take-out,A modern Japanese sushi bar with fresh sashimi and ramen.,"[""url53""]","[""Japanese""]"
19,Lemongrass Lane,740-464-9699,231 Main St,take-out,A spicy Thai eatery with colorful curries and noodle dishes.,"[""url52""]","[""Thai""]"
20,Boulangerie Bliss,410-555-7868,389 Main St,dine-in,A sophisticated French café with pastries and fine dining.,"[""url13""]","[""French""]"
21,Route 66 Grill,118-689-9855,398 Main St,take-out,A classic American diner with burgers and milkshakes.,"[""url14""]","[""American""]"
22,Athena's Olive,553-712-6538,414 Main St,dine-in,A festive Greek taverna with moussaka and gyro platters.,"[""url33""]","[""Greek""]"
23,Hanoi House,913-247-1454,241 Main St,take-out,A flavorful Vietnamese spot with pho and spring rolls.,"[""url12""]","[""Vietnamese""]"
24,Tapas Temptation,366-616-5027,58 Main St,dine-in,A lively Spanish tapas bar with sangria and paella.,"[""url30""]","[""Spanish""]"
25,Pasta Fresca,705-753-4427,221 Main St,dine-in,A cozy Italian restaurant offering authentic pasta and pizzas.,"[""url25""]","[""Italian""]"
26,Santorini Grill,394-341-7178,28 Main St,dine-in,A vibrant Mediterranean eatery with fresh seafood and salads.,"[""url45""]","[""Mediterranean""]"
27,Casa de Tacos,157-535-7207,243 Main St,dine-in,A lively Mexican joint with flavorful tacos and margaritas.,"[""url3""]","[""Mexican""]"
28,Wok & Roll,468-789-1090,255 Main St,dine-in,A traditional Chinese restaurant with dim sum and stir-fries.,"[""url79""]","[""Chinese""]"
29,Taj Curry House,246-110-3291,390 Main St,take-out,An aromatic Indian bistro with curries and tandoori dishes.,"[""url61""]","[""Indian""]"
30,Sakura Sushi,130-184-4603,466 Main St,dine-in,A modern Japanese sushi bar with fresh sashimi and ramen.,"[""url73""]","[""Japanese""]"
31,Chili Thai,366-203-7413,372 Main St,take-out,A spicy Thai eatery with colorful curries and noodle dishes.,"[""url95""]","[""Thai""]"
32,Chateau de Vin,836-755-1994,402 Main St,take-out,A sophisticated French café with pastries and fine dining.,"[""url92""]","[""French""]"
33,Star Spangled Burgers,944-944-1379,108 Main St,dine-in,A classic American diner with burgers and milkshakes.,"[""url41""]","[""American""]"
34,Zeus's Table,430-739-2926,180 Main St,take-out,A festive Greek taverna with moussaka and gyro platters.,"[""url85""]","[""Greek""]"
35,Saigon Street,802-164-8500,18 Main St,take-out,A flavorful Vietnamese spot with pho and spring rolls.,"[""url26""]","[""Vietnamese""]"
36,Tapas Temptation,193-998-8043,407 Main St,take-out,A lively Spanish tapas bar with sangria and paella.,"[""url42""]","[""Spanish""]"
37,Il Forno,509-369-9533,8 Main St,take-out,A cozy Italian restaurant offering authentic pasta and pizzas.,"[""url43""]","[""Italian""]"
38,Santorini Grill,770-611-2335,186 Main St,dine-in,A vibrant Mediterranean eatery with fresh seafood and salads.,"[""url44""]","[""Mediterranean""]"
39,Margarita's,312-722-1549,33 Main St,dine-in,A lively Mexican joint with flavorful tacos and margaritas.,"[""url42""]","[""Mexican""]"
40,Golden Dragon,541-830-1997,199 Main St,take-out,A traditional Chinese restaurant with dim sum and stir-fries.,"[""url49""]","[""Chinese""]"
41,Taj Curry House,354-696-4146,162 Main St,dine-in,An aromatic Indian bistro with curries and tandoori dishes.,"[""url34""]","[""Indian""]"
42,Tokyo Teppanyaki,972-385-3488,1 Main St,take-out,A modern Japanese sushi bar with fresh sashimi and ramen.,"[""url83""]","[""Japanese""]"
43,Lemongrass Lane,332-424-2507,132 Main St,take-out,A spicy Thai eatery with colorful curries and noodle dishes.,"[""url3""]","[""Thai""]"
44,Le Petit Café,317-636-9020,496 Main St,take-out,A sophisticated French café with pastries and fine dining.,"[""url80""]","[""French""]"
45,Star Spangled Burgers,772-981-8170,106 Main St,dine-in,A classic American diner with burgers and milkshakes.,"[""url93""]","[""American""]"
46,Gyro Gyro,932-913-9072,359 Main St,dine-in,A festive Greek taverna with moussaka and gyro platters.,"[""url3""]","[""Greek""]"
47,Pho Pho Pho,148-815-7320,471 Main St,take-out,A flavorful Vietnamese spot with pho and spring rolls.,"[""url93""]","[""Vietnamese""]"
48,Tapas Temptation,595-560-5756,138 Main St,dine-in,A lively Spanish tapas bar with sangria and paella.,"[""url93""]","[""Spanish""]"
49,Trattoria Bella,331-267-9868,376 Main St,take-out,A cozy Italian restaurant offering authentic pasta and pizzas.,"[""url57""]","[""Italian""]"
50,Aegean Breeze,516-936-9720,147 Main St,take-out,A vibrant Mediterranean eatery with fresh seafood and salads.,"[""url82""]","[""Mediterranean""]"
51,Casa de Tacos,985-624-2692,339 Main St,dine-in,A lively Mexican joint with flavorful tacos and margaritas.,"[""url92""]","[""Mexican""]"
52,Wok & Roll,258-345-8806,433 Main St,take-out,A traditional Chinese restaurant with dim sum and stir-fries.,"[""url86""]","[""Chinese""]"
53,Spice Route,357-524-3806,177 Main St,take-out,An aromatic Indian bistro with curries and tandoori dishes.,"[""url63""]","[""Indian""]"
54,Sakura Sushi,711-533-3294,3 Main St,take-out,A modern Japanese sushi bar with fresh sashimi and ramen.,"[""url4""]","[""Japanese""]"
55,Chili Thai,212-801-7635,68 Main St,take-out,A spicy Thai eatery with colorful curries and noodle dishes.,"[""url60""]","[""Thai""]"
56,Boulangerie Bliss,425-893-6024,381 Main St,dine-in,A sophisticated French café with pastries and fine dining.,"[""url48""]","[""French""]"
57,Star Spangled Burgers,190-514-7485,283 Main St,dine-in,A classic American diner with burgers and milkshakes.,"[""url26""]","[""American""]"
58,Zeus's Table,197-440-4498,171 Main St,dine-in,A festive Greek taverna with moussaka and gyro platters.,"[""url9""]","[""Greek""]"
59,Pho Pho Pho,636-618-5324,57 Main St,dine-in,A flavorful Vietnamese spot with pho and spring rolls.,"[""url10""]","[""Vietnamese""]"
60,Paella Paradise,542-368-9178,257 Main St,take-out,A lively Spanish tapas bar with sangria and paella.,"[""url52""]","[""Spanish""]"
61,Il Forno,988-159-5387,285 Main St,dine-in,A cozy Italian restaurant offering authentic pasta and pizzas.,"[""url85""]","[""Italian""]"
62,Seafood Harbor,227-287-5239,92 Main St,take-out,A vibrant Mediterranean eatery with fresh seafood and salads.,"[""url79""]","[""Mediterranean""]"
63,Chili Pepper,704-382-3619,18 Main St,dine-in,A lively Mexican joint with flavorful tacos and margaritas.,"[""url91""]","[""Mexican""]"
64,Jade Palace,640-487-6290,484 Main St,dine-in,A traditional Chinese restaurant with dim sum and stir-fries.,"[""url72""]","[""Chinese""]"
65,Bollywood Bistro,889-658-7935,344 Main St,dine-in,An aromatic Indian bistro with curries and tandoori dishes.,"[""url39""]","[""Indian""]"
66,Wasabi Wave,137-665-7572,409 Main St,take-out,A modern Japanese sushi bar with fresh sashimi and ramen.,"[""url23""]","[""Japanese""]"
67,Lemongrass Lane,217-868-7902,156 Main St,take-out,A spicy Thai eatery with colorful curries and noodle dishes.,"[""url53""]","[""Thai""]"
68,Parisian Bistro,566-493-6080,222 Main St,dine-in,A sophisticated French café with pastries and fine dining.,"[""url85""]","[""French""]"
69,Route 66 Grill,693-155-7088,482 Main St,dine-in,A classic American diner with burgers and milkshakes.,"[""url65""]","[""American""]"
70,Athena's Olive,930-385-4739,309 Main St,dine-in,A festive Greek taverna with moussaka and gyro platters.,"[""url86""]","[""Greek""]"
71,Lotus Leaf,113-592-3592,189 Main St,dine-in,A flavorful Vietnamese spot with pho and spring rolls.,"[""url26""]","[""Vietnamese""]"
72,Valencia Vibes,157-980-8098,330 Main St,take-out,A lively Spanish tapas bar with sangria and paella.,"[""url95""]","[""Spanish""]"
73,Il Forno,848-347-4018,449 Main St,dine-in,A cozy Italian restaurant offering authentic pasta and pizzas.,"[""url51""]","[""Italian""]"
74,Olive & Thyme,182-596-8880,17 Main St,dine-in,A vibrant Mediterranean eatery with fresh seafood and salads.,"[""url52""]","[""Mediterranean""]"
75,Fiesta Cantina,581-142-1303,36 Main St,take-out,A lively Mexican joint with flavorful tacos and margaritas.,"[""url75""]","[""Mexican""]"
76,Wok & Roll,165-843-9763,459 Main St,take-out,A traditional Chinese restaurant with dim sum and stir-fries.,"[""url2""]","[""Chinese""]"
77,Bollywood Bistro,140-808-5860,453 Main St,take-out,An aromatic Indian bistro with curries and tandoori dishes.,"[""url6""]","[""Indian""]"
78,Zen Ramen,530-362-6115,223 Main St,take-out,A modern Japanese sushi bar with fresh sashimi and ramen.,"[""url86""]","[""Japanese""]"
79,Chili Thai,251-645-3311,151 Main St,dine-in,A spicy Thai eatery with colorful curries and noodle dishes.,"[""url65""]","[""Thai""]"
80,Parisian Bistro,693-584-7309,2 Main St,dine-in,A sophisticated French café with pastries and fine dining.,"[""url28""]","[""French""]"
81,Eagle's Diner,124-351-3333,340 Main St,take-out,A classic American diner with burgers and milkshakes.,"[""url24""]","[""American""]"
82,Zeus's Table,538-538-3785,147 Main St,dine-in,A festive Greek taverna with moussaka and gyro platters.,"[""url66""]","[""Greek""]"
83,Lotus Leaf,772-597-2743,196 Main St,dine-in,A flavorful Vietnamese spot with pho and spring rolls.,"[""url91""]","[""Vietnamese""]"
84,Valencia Vibes,742-542-4985,160 Main St,dine-in,A lively Spanish tapas bar with sangria and paella.,"[""url31""]","[""Spanish""]"
85,Pasta Fresca,780-704-4552,313 Main St,take-out,A cozy Italian restaurant offering authentic pasta and pizzas.,"[""url2""]","[""Italian""]"
86,Seafood Harbor,643-500-7187,92 Main St,take-out,A vibrant Mediterranean eatery with fresh seafood and salads.,"[""url2""]","[""Mediterranean""]"
87,Casa de Tacos,886-194-6579,290 Main St,take-out,A lively Mexican joint with flavorful tacos and margaritas.,"[""url58""]","[""Mexican""]"
88,Wok & Roll,149-738-5854,183 Main St,dine-in,A traditional Chinese restaurant with dim sum and stir-fries.,"[""url40""]","[""Chinese""]"
89,Spice Route,477-991-1013,330 Main St,take-out,An aromatic Indian bistro with curries and tandoori dishes.,"[""url16""]","[""Indian""]"
90,Wasabi Wave,717-802-7657,295 Main St,take-out,A modern Japanese sushi bar with fresh sashimi and ramen.,"[""url57""]","[""Japanese""]"
91,Chili Thai,348-259-2503,369 Main St,take-out,A spicy Thai eatery with colorful curries and noodle dishes.,"[""url46""]","[""Thai""]"
92,Chateau de Vin,188-923-7353,401 Main St,take-out,A sophisticated French café with pastries and fine dining.,"[""url81""]","[""French""]"
93,Liberty Lane,453-236-9899,265 Main St,take-out,A classic American diner with burgers and milkshakes.,"[""url74""]","[""American""]"
94,Athena's Olive,756-902-5805,274 Main St,dine-in,A festive Greek taverna with moussaka and gyro platters.,"[""url13""]","[""Greek""]"
95,Saigon Street,236-657-5817,499 Main St,take-out,A flavorful Vietnamese spot with pho and spring rolls.,"[""url86""]","[""Vietnamese""]"
96,Barcelona Bites,950-378-3430,425 Main St,dine-in,A lively Spanish tapas bar with sangria and paella.,"[""url55""]","[""Spanish""]"
97,Il Forno,603-114-8373,415 Main St,dine-in,A cozy Italian restaurant offering authentic pasta and pizzas.,"[""url34""]","[""Italian""]"
98,Santorini Grill,180-510-4067,156 Main St,dine-in,A vibrant Mediterranean eatery with fresh seafood and salads.,"[""url31""]","[""Mediterranean""]"
99,Casa de Tacos,183-177-1142,223 Main St,dine-in,A lively Mexican joint with flavorful tacos and margaritas.,"[""url2""]","[""Mexican""]"
100,Jade Palace,152-317-9864,48 Main St,take-out,A traditional Chinese restaurant with dim sum and stir-fries.,"[""url56""]","[""Chinese""]"
101,Saffron Lounge,961-228-7196,49 Main St,take-out,An aromatic Indian bistro with curries and tandoori dishes.,"[""url73""]","[""Indian""]"
102,Wasabi Wave,562-394-8934,288 Main St,dine-in,A modern Japanese sushi bar with fresh sashimi and ramen.,"[""url85""]","[""Japanese""]"
103,Pad Thai Pavilion,390-383-7149,299 Main St,take-out,A spicy Thai eatery with colorful curries and noodle dishes.,"[""url4""]","[""Thai""]"
104,Parisian Bistro,962-267-9088,233 Main St,take-out,A sophisticated French café with pastries and fine dining.,"[""url17""]","[""French""]"
105,Eagle's Diner,680-590-1361,60 Main St,dine-in,A classic American diner with burgers and milkshakes.,"[""url63""]","[""American""]"
106,Zeus's Table,945-786-3401,189 Main St,dine-in,A festive Greek taverna with moussaka and gyro platters.,"[""url68""]","[""Greek""]"
107,Hanoi House,551-291-5413,173 Main St,dine-in,A flavorful Vietnamese spot with pho and spring rolls.,"[""url72""]","[""Vietnamese""]"
108,Barcelona Bites,652-678-1321,470 Main St,dine-in,A lively Spanish tapas bar with sangria and paella.,"[""url21""]","[""Spanish""]"
109,Roma's Pizzeria,272-737-6424,394 Main St,take-out,A cozy Italian restaurant offering authentic pasta and pizzas.,"[""url63""]","[""Italian""]"
110,Santorini Grill,941-708-6352,423 Main St,take-out,A vibrant Mediterranean eatery with fresh seafood and salads.,"[""url71""]","[""Mediterranean""]"
111,Casa de Tacos,683-968-1877,262 Main St,take-out,A lively Mexican joint with flavorful tacos and margaritas.,"[""url21""]","[""Mexican""]"
112,Golden Dragon,235-439-6110,299 Main St,take-out,A traditional Chinese restaurant with dim sum and stir-fries.,"[""url4""]","[""Chinese""]"
113,Saffron Lounge,822-417-3871,490 Main St,dine-in,An aromatic Indian bistro with curries and tandoori dishes.,"[""url80""]","[""Indian""]"
114,Wasabi Wave,422-991-7805,232 Main St,take-out,A modern Japanese sushi bar with fresh sashimi and ramen.,"[""url42""]","[""Japanese""]"
115,Lemongrass Lane,613-230-3364,375 Main St,take-out,A spicy Thai eatery with colorful curries and noodle dishes.,"[""url48""]","[""Thai""]"
116,Chateau de Vin,165-707-7711,419 Main St,dine-in,A sophisticated French café with pastries and fine dining.,"[""url39""]","[""French""]"
117,Eagle's Diner,679-697-3232,3 Main St,take-out,A classic American diner with burgers and milkshakes.,"[""url25""]","[""American""]"
118,Athena's Olive,913-739-1523,153 Main St,take-out,A festive Greek taverna with moussaka and gyro platters.,"[""url54""]","[""Greek""]"
119,Saigon Street,515-379-4651,232 Main St,take-out,A flavorful Vietnamese spot with pho and spring rolls.,"[""url76""]","[""Vietnamese""]"
120,Valencia Vibes,760-440-1132,481 Main St,take-out,A lively Spanish tapas bar with sangria and paella.,"[""url10""]","[""Spanish""]"
121,Il Forno,665-491-8285,30 Main St,dine-in,A cozy Italian restaurant offering authentic pasta and pizzas.,"[""url66""]","[""Italian""]"
122,Olive & Thyme,500-683-1920,415 Main St,dine-in,A vibrant Mediterranean eatery with fresh seafood and salads.,"[""url7""]","[""Mediterranean""]"
123,Chili Pepper,364-772-9594,17 Main St,dine-in,A lively Mexican joint with flavorful tacos and margaritas.,"[""url9""]","[""Mexican""]"
124,Jade Palace,791-418-8571,200 Main St,dine-in,A traditional Chinese restaurant with dim sum and stir-fries.,"[""url16""]","[""Chinese""]"
125,Spice Route,281-939-7466,400 Main St,dine-in,An aromatic Indian bistro with curries and tandoori dishes.,"[""url16""]","[""Indian""]"
126,Wasabi Wave,352-924-6168,36 Main St,take-out,A modern Japanese sushi bar with fresh sashimi and ramen.,"[""url21""]","[""Japanese""]"
127,Chili Thai,932-166-1085,107 Main St,dine-in,A spicy Thai eatery with colorful curries and noodle dishes.,"[""url20""]","[""Thai""]"
128,Le Petit Café,639-692-5765,408 Main St,dine-in,A sophisticated French café with pastries and fine dining.,"[""url44""]","[""French""]"
129,Eagle's Diner,271-101-3108,193 Main St,dine-in,A classic American diner with burgers and milkshakes.,"[""url23""]","[""American""]"
130,Gyro Gyro,220-185-2820,79 Main St,dine-in,A festive Greek taverna with moussaka and gyro platters.,"[""url45""]","[""Greek""]"
131,Saigon Street,112-114-3648,47 Main St,take-out,A flavorful Vietnamese spot with pho and spring rolls.,"[""url78""]","[""Vietnamese""]"
132,Valencia Vibes,290-144-3714,24 Main St,take-out,A lively Spanish tapas bar with sangria and paella.,"[""url55""]","[""Spanish""]"
133,Il Forno,737-810-3469,457 Main St,take-out,A cozy Italian restaurant offering authentic pasta and pizzas.,"[""url36""]","[""Italian""]"
134,Seafood Harbor,319-659-7205,496 Main St,take-out,A vibrant Mediterranean eatery with fresh seafood and salads.,"[""url79""]","[""Mediterranean""]"
135,Margarita's,997-127-6913,48 Main St,take-out,A lively Mexican joint with flavorful tacos and margaritas.,"[""url96""]","[""Mexican""]"
136,Golden Dragon,770-906-5360,92 Main St,take-out,A traditional Chinese restaurant with dim sum and stir-fries.,"[""url34""]","[""Chinese""]"
137,Taj Curry House,809-354-4856,296 Main St,take-out,An aromatic Indian bistro with curries and tandoori dishes.,"[""url26""]","[""Indian""]"
138,Sakura Sushi,431-917-1821,341 Main St,dine-in,A modern Japanese sushi bar with fresh sashimi and ramen.,"[""url77""]","[""Japanese""]"
139,Bangkok Street,894-603-4243,97 Main St,take-out,A spicy Thai eatery with colorful curries and noodle dishes.,"[""url80""]","[""Thai""]"
140,Boulangerie Bliss,992-790-9414,303 Main St,dine-in,A sophisticated French café with pastries and fine dining.,"[""url15""]","[""French""]"
141,Route 66 Grill,531-720-9872,38 Main St,take-out,A classic American diner with burgers and milkshakes.,"[""url29""]","[""American""]"
142,Gyro Gyro,331-391-1104,223 Main St,take-out,A festive Greek taverna with moussaka and gyro platters.,"[""url42""]","[""Greek""]"
143,Lotus Leaf,687-986-1193,325 Main St,dine-in,A flavorful Vietnamese spot with pho and spring rolls.,"[""url95""]","[""Vietnamese""]"
144,Paella Paradise,711-186-2949,302 Main St,take-out,A lively Spanish tapas bar with sangria and paella.,"[""url100""]","[""Spanish""]"
145,Trattoria Bella,628-989-6595,411 Main St,take-out,A cozy Italian restaurant offering authentic pasta and pizzas.,"[""url54""]","[""Italian""]"
146,Seafood Harbor,950-651-8923,132 Main St,dine-in,A vibrant Mediterranean eatery with fresh seafood and salads.,"[""url65""]","[""Mediterranean""]"
147,Chili Pepper,949-516-9381,379 Main St,dine-in,A lively Mexican joint with flavorful tacos and margaritas.,"[""url19""]","[""Mexican""]"
148,Jade Palace,740-741-8834,442 Main St,take-out,A traditional Chinese restaurant with dim sum and stir-fries.,"[""url15""]","[""Chinese""]"
149,Bollywood Bistro,143-811-5639,148 Main St,dine-in,An aromatic Indian bistro with curries and tandoori dishes.,"[""url29""]","[""Indian""]"
150,Wasabi Wave,728-504-4631,188 Main St,take-out,A modern Japanese sushi bar with fresh sashimi and ramen.,"[""url94""]","[""Japanese""]"
151,Lemongrass Lane,926-616-6581,280 Main St,dine-in,A spicy Thai eatery with colorful curries and noodle dishes.,"[""url79""]","[""Thai""]"
152,Le Petit Café,772-609-5504,90 Main St,take-out,A sophisticated French café with pastries and fine dining.,"[""url84""]","[""French""]"
153,Star Spangled Burgers,100-280-4775,458 Main St,dine-in,A classic American diner with burgers and milkshakes.,"[""url31""]","[""American""]"
154,Mykonos Taverna,324-784-3052,72 Main St,take-out,A festive Greek taverna with moussaka and gyro platters.,"[""url32""]","[""Greek""]"
155,Hanoi House,515-528-5997,444 Main St,dine-in,A flavorful Vietnamese spot with pho and spring rolls.,"[""url82""]","[""Vietnamese""]"
156,Paella Paradise,728-355-8576,70 Main St,take-out,A lively Spanish tapas bar with sangria and paella.,"[""url84""]","[""Spanish""]"
157,Trattoria Bella,228-781-2246,444 Main St,take-out,A cozy Italian restaurant offering authentic pasta and pizzas.,"[""url38""]","[""Italian""]"
158,Olive & Thyme,788-870-1024,138 Main St,dine-in,A vibrant Mediterranean eatery with fresh seafood and salads.,"[""url66""]","[""Mediterranean""]"
159,Margarita's,822-766-3170,473 Main St,take-out,A lively Mexican joint with flavorful tacos and margaritas.,"[""url7""]","[""Mexican""]"
160,Jade Palace,593-486-3802,490 Main St,take-out,A traditional Chinese restaurant with dim sum and stir-fries.,"[""url89""]","[""Chinese""]"
161,Saffron Lounge,861-244-6203,127 Main St,dine-in,An aromatic Indian bistro with curries and tandoori dishes.,"[""url63""]","[""Indian""]"
162,Sakura Sushi,465-316-6821,422 Main St,dine-in,A modern Japanese sushi bar with fresh sashimi and ramen.,"[""url62""]","[""Japanese""]"
163,Lemongrass Lane,812-118-6890,438 Main St,dine-in,A spicy Thai eatery with colorful curries and noodle dishes.,"[""url46""]","[""Thai""]"
164,Le Petit Café,957-905-9094,282 Main St,take-out,A sophisticated French café with pastries and fine dining.,"[""url78""]","[""French""]"
165,Liberty Lane,548-742-6030,10 Main St,dine-in,A classic American diner with burgers and milkshakes.,"[""url51""]","[""American""]"
166,Mykonos Taverna,560-978-7383,78 Main St,dine-in,A festive Greek taverna with moussaka and gyro platters.,"[""url40""]","[""Greek""]"
167,Saigon Street,698-102-6237,454 Main St,dine-in,A flavorful Vietnamese spot with pho and spring rolls.,"[""url67""]","[""Vietnamese""]"
168,Valencia Vibes,955-637-8071,418 Main St,take-out,A lively Spanish tapas bar with sangria and paella.,"[""url99""]","[""Spanish""]"
169,Trattoria Bella,400-684-9664,56 Main St,take-out,A cozy Italian restaurant offering authentic pasta and pizzas.,"[""url34""]","[""Italian""]"
170,Olive & Thyme,968-972-3421,67 Main St,dine-in,A vibrant Mediterranean eatery with fresh seafood and salads.,"[""url53""]","[""Mediterranean""]"
171,Margarita's,280-608-9819,30 Main St,take-out,A lively Mexican joint with flavorful tacos and margaritas.,"[""url96""]","[""Mexican""]"
172,Wok & Roll,961-120-5176,30 Main St,take-out,A traditional Chinese restaurant with dim sum and stir-fries.,"[""url74""]","[""Chinese""]"
173,Taj Curry House,890-969-1993,319 Main St,dine-in,An aromatic Indian bistro with curries and tandoori dishes.,"[""url42""]","[""Indian""]"
174,Sakura Sushi,541-268-3000,291 Main St,dine-in,A modern Japanese sushi bar with fresh sashimi and ramen.,"[""url71""]","[""Japanese""]"
175,Bangkok Street,441-462-2187,165 Main St,dine-in,A spicy Thai eatery with colorful curries and noodle dishes.,"[""url11""]","[""Thai""]"
176,Chateau de Vin,337-972-7414,153 Main St,take-out,A sophisticated French café with pastries and fine dining.,"[""url25""]","[""French""]"
177,Star Spangled Burgers,696-606-6915,306 Main St,take-out,A classic American diner with burgers and milkshakes.,"[""url2""]","[""American""]"
178,Gyro Gyro,955-192-7899,106 Main St,dine-in,A festive Greek taverna with moussaka and gyro platters.,"[""url1""]","[""Greek""]"
179,Saigon Street,356-122-1001,422 Main St,take-out,A flavorful Vietnamese spot with pho and spring rolls.,"[""url71""]","[""Vietnamese""]"
180,Valencia Vibes,984-862-8273,321 Main St,dine-in,A lively Spanish tapas bar with sangria and paella.,"[""url50""]","[""Spanish""]"
181,Il Forno,347-839-1196,13 Main St,take-out,A cozy Italian restaurant offering authentic pasta and pizzas.,"[""url19""]","[""Italian""]"
182,Santorini Grill,416-458-3670,72 Main St,dine-in,A vibrant Mediterranean eatery with fresh seafood and salads.,"[""url75""]","[""Mediterranean""]"
183,Fiesta Cantina,437-764-1663,182 Main St,dine-in,A lively Mexican joint with flavorful tacos and margaritas.,"[""url25""]","[""Mexican""]"
184,Jade Palace,470-869-7956,418 Main St,dine-in,A traditional Chinese restaurant with dim sum and stir-fries.,"[""url100""]","[""Chinese""]"
185,Saffron Lounge,739-785-7719,65 Main St,dine-in,An aromatic Indian bistro with curries and tandoori dishes.,"[""url15""]","[""Indian""]"
186,Zen Ramen,424-685-4998,283 Main St,dine-in,A modern Japanese sushi bar with fresh sashimi and ramen.,"[""url12""]","[""Japanese""]"
187,Bangkok Street,131-768-6769,191 Main St,dine-in,A spicy Thai eatery with colorful curries and noodle dishes.,"[""url91""]","[""Thai""]"
188,Le Petit Café,106-649-2777,357 Main St,dine-in,A sophisticated French café with pastries and fine dining.,"[""url11""]","[""French""]"
189,Liberty Lane,901-477-4538,372 Main St,dine-in,A classic American diner with burgers and milkshakes.,"[""url92""]","[""American""]"
190,Gyro Gyro,622-642-2469,333 Main St,dine-in,A festive Greek taverna with moussaka and gyro platters.,"[""url73""]","[""Greek""]"
191,Saigon Street,472-180-3864,212 Main St,dine-in,A flavorful Vietnamese spot with pho and spring rolls.,"[""url79""]","[""Vietnamese""]"
